Company Names,Company Detail
Shangar Decor,['Price ₹ 5.80 M.Cap ₹ 7.10 Cr PE 9.5']
Amit Internation,['Price ₹ 3.30 M.Cap ₹ 6.25 Cr PE 89.3']
Refractory,['Price ₹ 144 M.Cap ₹ 313 Cr PE 77.8']
Marinetrans Indi,['Price ₹ 28.0 M.Cap ₹ 35.6 Cr PE 111.4']
Innokaiz India,['Price ₹ 43.6 M.Cap ₹ 44.6 Cr PE 20.0']
Arihant Institut,['Price ₹ 1.56 M.Cap ₹ 1.47 Cr PE 18.4']
McNally Bharat,['Price ₹ 4.20 M.Cap ₹ 88.3 Cr']
Sandu Pharma.,['Price ₹ 61.0 M.Cap ₹ 58.9 Cr PE 40.4']
KCD Industries,['Price ₹ 9.61 M.Cap ₹ 24.3 Cr PE 10.2']
Soni Medicare,['Price ₹ 29.8 M.Cap ₹ 12.7 Cr']
Ishwarshakti Hol,['Price ₹ 3.19']
Super Crop Safe,['Price ₹ 12.6 M.Cap ₹ 50.6 Cr PE 38.1']
Credo Brands,"['Price ₹ 160 M.Cap ₹ 1,034 Cr PE 17.5']"
Energy-Mission,['Price ₹ 328 M.Cap ₹ 372 Cr PE 33.9']
Onelife Capital,['Price ₹ 17.6 M.Cap ₹ 23.3 Cr PE 59.9']
Bansisons Tea,['Price ₹ 3.80 M.Cap ₹ 2.41 Cr']
Rama Paper Mills,['Price ₹ 16.2 M.Cap ₹ 15.7 Cr']
Machino Plastics,['Price ₹ 240 M.Cap ₹ 147 Cr PE 39.9']
Finelistings,['Price ₹ 58.0 M.Cap ₹ 21.1 Cr PE 12.1']
Winsol,['Price ₹ 390 M.Cap ₹ 450 Cr PE 51.7']
Cospower Engine.,['Price ₹ 231 M.Cap ₹ 34.6 Cr PE 315']
Indian Bright St,['Price ₹ 167 M.Cap ₹ 404 Cr']
Anzen IYEP Trust,"['Price ₹ 102 M.Cap ₹ 1,608 Cr']"
Oriental Infra,null
A B M Internatl.,['Price ₹ 62.6 M.Cap ₹ 58.9 Cr']
